stream_id,label,modality,sample_count,temporal_sample_count,t_min_ns,t_max_ns,duration_s,delta_min_ms,delta_median_ms,delta_max_ms,temporal_status,measured_rate_hz,nominal_rate_hz,abs_error_hz,rel_error_pct,tested_indices,read_ok,read_fail,integrity_status,error_example
1201-1,camera-slam-left,image,1551,1551,888362708812.0,940021108812.0,51.6584,33.328,33.328,33.328,OK,30.004800768122898,30.0,0.004800768122898091,0.016002560409660305,"[0, 775, 1550]",3,0,OK,
1201-2,camera-slam-right,image,1551,1551,888362708800.0,940021108800.0,51.6584,33.328,33.328,33.328,OK,30.004800768122898,30.0,0.004800768122898091,0.016002560409660305,"[0, 775, 1550]",3,0,OK,
211-1,camera-et,image,1551,1551,888362705312.0,940021105312.0,51.6584,33.328,33.328,33.328,OK,30.004800768122898,30.0,0.004800768122898091,0.016002560409660305,"[0, 775, 1550]",3,0,OK,
214-1,camera-rgb,image,1551,1551,888362615137.0,940021010637.0,51.6583955,33.037587,33.327338,33.6145,OK,30.005396770663175,30.0,0.005396770663175232,0.01798923554391744,"[0, 775, 1550]",3,0,OK,
1202-1,imu-right,imu,51631,51631,888345407550.0,940030724375.0,51.685316825,0.923025,1.001075,1.079137,OK,998.9261543840372,1000.0,1.0738456159627958,0.10738456159627958,"[0, 25815, 51630]",3,0,OK,
1202-2,imu-left,imu,41675,41675,888345726987.0,940031094125.0,51.685367138,1.24005,1.240238,1.240413,OK,806.29685592604,800.0,6.2968559260400525,0.7871069907550066,"[0, 20837, 41674]",3,0,OK,
1203-1,mag0,other-sensor,516,516,888428738900.0,939967934462.0,51.539195562,100.007125,100.0843,100.161875,OK,9.991577100504275,10.0,0.008422899495725389,0.08422899495725389,"[0, 258, 515]",3,0,OK,
247-1,baro0,other-sensor,2565,2565,888340227750.0,940019616575.0,51.679388825,19.325863,20.15975,20.978412,OK,49.603789729535336,50.0,0.39621027046466395,0.7924205409293279,"[0, 1282, 2564]",3,0,OK,
281-1,gps,other-sensor,52,52,888645454450.0,939647299796.0,51.001845346,994.000677,999.652656,1005.927447,OK,1.0003474646897752,1.0,0.00034746468977520095,0.034746468977520095,"[0, 26, 51]",3,0,OK,
282-1,wps,unknown,136,136,-1.0,-1.0,0.0,,,,OK,,,,,"[0, 68, 135]",3,0,OK,
283-1,bluetooth,unknown,0,0,,,0.0,,,,OK,,,,,[],0,0,EMPTY,
